Tick	CurrentTask ID	NextTask ID	Number of ctx switch
 0	**********	task( 1)( 0)	0
 1	task( 1)( 0)	task( 2)( 0)	0
 2	task( 2)( 0)	task(63)	1
 3	task(63)	task( 1)( 1)	2
 4	task( 1)( 1)	task(63)	3
 6	task(63)	task( 1)( 2)	4
 7	task( 1)( 2)	task( 2)( 1)	5
 8	task( 2)( 1)	task(63)	6
 9	task(63)	task( 1)( 3)	7
10	task( 1)( 3)	task(63)	8
12	task(63)	task( 1)( 4)	9
13	task( 1)( 4)	task( 2)( 2)	10
14	task( 2)( 2)	task(63)	11
15	task(63)	task( 1)( 5)	12
16	task( 1)( 5)	task(63)	13
18	task(63)	task( 1)( 6)	14
19	task( 1)( 6)	task( 2)( 3)	15
20	task( 2)( 3)	task(63)	16
21	task(63)	task( 1)( 7)	17
22	task( 1)( 7)	task(63)	18
24	task(63)	task( 1)( 8)	19
25	task( 1)( 8)	task( 2)( 4)	20
26	task( 2)( 4)	task(63)	21
27	task(63)	task( 1)( 9)	22
28	task( 1)( 9)	task(63)	23
